,URL,Bundle,Sale,Regular Price (£),Sale Price (£),Saving (%)
UAD Custom 2 Bundle,https://www.uaudio.com/uad-plugins/uad-custom-2-bundle.html,True,True,379,229.0,39
UAD Custom 3 Bundle,https://www.uaudio.com/uad-plugins/plug-in-bundles/uad-custom-3.html,True,True,529,299.0,43
AMS DMX Digital Delay & Pitch Shifter,https://www.uaudio.com/uad-plugins/delay-modulation/ams-dmx-digital-delay-pitch-shifter.html,False,False,229,,0
Manley Tube Preamp,https://www.uaudio.com/uad-plugins/channel-strips/manley-tube-preamp.html,False,False,115,,0
Neve 1073 Preamp & EQ Collection,https://www.uaudio.com/uad-plugins/channel-strips/neve-1073-collection.html,False,True,229,114.0,50
UAD Custom 6 Bundle,https://www.uaudio.com/uad-plugins/plug-in-bundles/uad-custom-6.html,True,True,749,529.0,29
UAD Custom 10 Bundle,https://www.uaudio.com/uad-plugins/plug-in-bundles/uad-custom-10.html,True,True,999,749.0,25
Antares Auto-Tune Realtime Advanced,https://www.uaudio.com/uad-plugins/special-processing/antares-auto-tune-realtime-advanced.html,False,True,229,114.0,50
API Vision Channel Strip Collection,https://www.uaudio.com/uad-plugins/channel-strips/api-vision-channel-strip-collection.html,False,True,229,114.0,50
Fender '55 Tweed Deluxe ,https://www.uaudio.com/uad-plugins/guitar-bass/fender-55-dlx.html,False,True,149,74.0,50
API Preamp,https://www.uaudio.com/uad-plugins/channel-strips/api-preamp.html,False,True,115,57.0,50
UAD Complete,https://www.uaudio.com/uad-plugins/plug-in-bundles/uad-complete.html,True,False,8499,,0
LUNA API Vision Console Emulation Bundle,https://www.uaudio.com/uad-plugins/api-vision-console-emulation-bundle.html,False,True,529,423.0,20
API Complete UAD Plug‑In Bundle,https://www.uaudio.com/uad-plugins/plug-in-bundles/api-complete-plug-in-bundle.html,True,True,449,359.0,20
Neve® 1084™ Preamp & EQ,https://www.uaudio.com/uad-plugins/channel-strips/neve-1084-preamp-eq.html,False,True,229,114.0,50
Ultimate 10,https://www.uaudio.com/uad-plugins/plug-in-bundles/uad-ultimate-10.html,True,False,2999,,0
Neve Summing,https://www.uaudio.com/uad-plugins/neve-summing.html,False,True,229,114.0,50
LUNA Creator Bundle,https://www.uaudio.com/luna/instruments-extensions/luna-creator-bundle.html,True,True,449,359.0,20
Avalon VT-737 Tube Channel Strip,https://www.uaudio.com/uad-plugins/channel-strips/avalon-vt-737-tube-channel-strip.html,False,True,229,114.0,50
Moog Minimoog,https://www.uaudio.com/luna/instruments-extensions/moog-minimoog.html,False,True,229,114.0,50
UA 175B & 176 Tube Compressor Collection,https://www.uaudio.com/uad-plugins/compressors-limiters/ua-tube-compressor-collection.html,False,True,229,91.0,60
Capitol Chambers,https://www.uaudio.com/uad-plugins/reverbs/capitol-chambers.html,False,True,260,130.0,50
Lexicon 480L Digital Reverb and Effects,https://www.uaudio.com/uad-plugins/reverbs/lexicon-480l-digital-reverb-effects.html,False,True,260,104.0,60
API 2500 Bus Compressor,https://www.uaudio.com/uad-plugins/compressors-limiters/api-2500-bus-compressor.html,False,True,229,91.0,60
Galaxy Tape Echo,https://www.uaudio.com/uad-plugins/delay-modulation/galaxy-tape-echo.html,False,True,149,74.0,50
Empirical Labs EL8 Distressor Compressor,https://www.uaudio.com/uad-plugins/compressors-limiters/empirical-labs-el8-distressor-compressor.html,False,True,229,114.0,50
AKG BX 20 Spring Reverb,https://www.uaudio.com/uad-plugins/reverbs/akg-bx-20-reverb.html,False,True,149,74.0,50
EMT® 140 Classic Plate Reverberator,https://www.uaudio.com/uad-plugins/reverbs/emt-140.html,False,True,149,74.0,50
Manley VOXBOX Channel Strip,https://www.uaudio.com/uad-plugins/channel-strips/manley-voxbox.html,False,True,229,114.0,50
Manley® Variable Mu Limiter Compressor ,https://www.uaudio.com/uad-plugins/compressors-limiters/manley-variable-mu.html,False,True,229,114.0,50
1176 Classic Limiter Collection,https://www.uaudio.com/uad-plugins/compressors-limiters/1176-collection.html,False,True,229,91.0,60
API 500 Series EQ Collection,https://www.uaudio.com/uad-plugins/equalizers/api-500-series-eq-collection.html,False,True,229,91.0,60
Fairchild Tube Limiter Collection,https://www.uaudio.com/uad-plugins/compressors-limiters/fairchild-tube-limiter-collection.html,False,True,229,91.0,60
Analog Classics Pro Bundle,https://www.uaudio.com/uad-plugins/plug-in-bundles/analog-classics-pro-bundle.html,True,True,449,359.0,20
V76 Preamplifier,https://www.uaudio.com/uad-plugins/channel-strips/v76-preamplifier.html,False,True,149,74.0,50
Thermionic Culture Vulture ,https://www.uaudio.com/uad-plugins/special-processing/thermionic-culture-vulture.html,False,True,229,94.0,58
Manley® Massive Passive EQ ,https://www.uaudio.com/uad-plugins/equalizers/manley-massive-passive.html,False,True,229,114.0,50
C-Suite C-Vox Noise & Ambience Reduction,https://www.uaudio.com/uad-plugins/special-processing/c-vox-noise-reduction.html,False,False,260,,0
Precision Mastering Bundle,https://www.uaudio.com/uad-plugins/plug-in-bundles/precision-mastering-bundle.html,True,True,299,239.0,20
EMT® Classic Reverb Bundle,https://www.uaudio.com/uad-plugins/reverbs/emt-classic-reverb-bundle.html,False,True,229,183.0,20
dbx® 160 Compressor / Limiter,https://www.uaudio.com/uad-plugins/compressors-limiters/dbx-160.html,False,True,149,74.0,50
Precision Buss Compressor ,https://www.uaudio.com/uad-plugins/compressors-limiters/precision-buss-compressor.html,False,True,149,59.0,60
Teletronix® LA-3A Classic Audio Leveler ,https://www.uaudio.com/uad-plugins/compressors-limiters/uad-la-3a.html,False,True,149,74.0,50
FATSO™ Jr./Sr. Tape Sim. & Compressor ,https://www.uaudio.com/uad-plugins/special-processing/fatso.html,False,True,229,114.0,50
Cambridge EQ ,https://www.uaudio.com/uad-plugins/equalizers/cambridge-eq.html,False,True,115,57.0,50
EMT® 250 Classic Electronic Reverb ,https://www.uaudio.com/uad-plugins/reverbs/emt-250.html,False,True,189,94.0,50
Trident® A-Range Classic Console EQ ,https://www.uaudio.com/uad-plugins/equalizers/trident-a-range.html,False,True,189,94.0,50
Neve 31102 / 31102SE  Classic Console EQs,https://www.uaudio.com/uad-plugins/equalizers/neve-31102.html,False,True,189,94.0,50
Neve 1081 / 1081SE Classic Console EQ ,https://www.uaudio.com/uad-plugins/equalizers/neve-1081.html,False,True,189,94.0,50
Harrison® 32C / 32C SE  Channel EQ ,https://www.uaudio.com/uad-plugins/equalizers/harrison-32c.html,False,True,189,94.0,50
Precision Maximizer ,https://www.uaudio.com/uad-plugins/mastering/precision-maximizer.html,False,True,149,59.0,60
Precision Multiband ,https://www.uaudio.com/uad-plugins/mastering/precision-multiband.html,False,True,189,74.0,60
Precision EQ ,https://www.uaudio.com/uad-plugins/mastering/precision-eq.html,False,True,149,59.0,60
Precision Limiter ,https://www.uaudio.com/uad-plugins/mastering/precision-limiter.html,False,True,149,59.0,60
Precision Enhancer Hz ,https://www.uaudio.com/uad-plugins/special-processing/precision-enhancer-hz.html,False,True,149,59.0,60
Little Labs® IBP Phase Alignment Tool ,https://www.uaudio.com/uad-plugins/special-processing/little-labs-ibp.html,False,True,75,37.0,50
Precision Enhancer kHz ,https://www.uaudio.com/uad-plugins/special-processing/precision-enhancer-khz.html,False,True,115,57.0,50
SPL® Transient Designer ,https://www.uaudio.com/uad-plugins/special-processing/spl-transient-designer.html,False,True,149,74.0,50
Precision De-Esser ,https://www.uaudio.com/uad-plugins/special-processing/precision-de-esser.html,False,True,115,57.0,50
Cooper® Time Cube Mk II Delay,https://www.uaudio.com/uad-plugins/delay-modulation/cooper-time-cube.html,False,True,115,57.0,50
DreamVerb Room Modeler ,https://www.uaudio.com/uad-plugins/reverbs/dreamverb.html,False,True,115,57.0,50
EP-34 Tape Echo ,https://www.uaudio.com/uad-plugins/delay-modulation/ep-34.html,False,True,149,74.0,50
Lexicon 224 Digital Reverb,https://www.uaudio.com/uad-plugins/reverbs/lexicon-224.html,False,True,260,104.0,60
SPL® Vitalizer MK2-T ,https://www.uaudio.com/uad-plugins/special-processing/spl-vitalizer-mk2-t.html,False,True,189,94.0,50
Little Labs® Voice Of God Bass Resonance ,https://www.uaudio.com/uad-plugins/special-processing/little-labs-voice-of-god.html,False,True,115,57.0,50
MXR® Flanger/Doubler ,https://www.uaudio.com/uad-plugins/delay-modulation/mxr-flanger-doubler.html,False,True,149,74.0,50
UA 610 Tube Preamp & EQ Collection,https://www.uaudio.com/uad-plugins/channel-strips/610-collection.html,False,True,229,114.0,50
Sonnox® Oxford EQ ,https://www.uaudio.com/uad-plugins/mastering/oxford-eq.html,False,True,229,114.0,50
Shadow Hills Mastering Compressor ,https://www.uaudio.com/uad-plugins/mastering/shadow-hills-mastering-compressor.html,False,True,229,114.0,50
Precision K-Stereo Ambience Recovery ,https://www.uaudio.com/uad-plugins/mastering/k-stereo-ambience-recovery.html,False,True,149,59.0,60
Magnetic Tape Bundle,https://www.uaudio.com/uad-plugins/special-processing/magnetic-tape-bundle.html,False,True,339,271.0,20
Teletronix® LA-2A Leveler Collection,https://www.uaudio.com/uad-plugins/compressors-limiters/teletronix-la-2a-collection.html,False,True,229,91.0,60
Softube® Amp Room Bundle,https://www.uaudio.com/uad-plugins/softube-amp-room-bundle.html,False,True,149,119.0,20
Ocean Way Studios ,https://www.uaudio.com/uad-plugins/reverbs/ocean-way-studios.html,False,True,260,104.0,60
SPL®  TwinTube Processor ,https://www.uaudio.com/uad-plugins/special-processing/spl-twin-tube-processor.html,False,True,149,74.0,50
Sonnox® Oxford Inflator ,https://www.uaudio.com/uad-plugins/mastering/oxford-inflator.html,False,True,135,67.0,50
Pultec Passive EQ Collection,https://www.uaudio.com/uad-plugins/equalizers/pultec-passive-eq-collection.html,False,True,229,91.0,60
Millennia NSEQ-2 EQ ,https://www.uaudio.com/uad-plugins/mastering/millennia-nseq-2.html,False,True,229,114.0,50
ENGL® E765 Retro Tube ,https://www.uaudio.com/uad-plugins/guitar-bass/engl-e765-rt.html,False,True,115,57.0,50
ENGL® E646 VS Limited Edition,https://www.uaudio.com/uad-plugins/guitar-bass/engl-e646-vs.html,False,True,115,57.0,50
Valley People Dyna-mite™ ,https://www.uaudio.com/uad-plugins/compressors-limiters/valley-people-dyna-mite.html,False,True,149,74.0,50
Tonelux® Tilt EQ ,https://www.uaudio.com/uad-plugins/equalizers/tonelux-tilt-eq.html,False,True,75,37.0,50
Maag EQ4® EQ ,https://www.uaudio.com/uad-plugins/equalizers/maag-eq4.html,False,True,175,87.0,50
Dangerous BAX EQ Collection,https://www.uaudio.com/uad-plugins/equalizers/dangerous-bax-eq.html,False,True,189,94.0,50
Chandler Limited GAV19T Amplifier ,https://www.uaudio.com/uad-plugins/guitar-bass/chandler-gav-19t-guitar-amp.html,False,True,149,74.0,50
Brainworx bx_saturator V2 ,https://www.uaudio.com/uad-plugins/mastering/bx-saturator-v2.html,False,True,149,74.0,50
Brainworx bx_refinement ,https://www.uaudio.com/uad-plugins/mastering/bx-refinement.html,False,True,149,74.0,50
elysia• alpha compressor ,https://www.uaudio.com/uad-plugins/compressors-limiters/elysia-alpha-compressor.html,False,True,229,114.0,50
elysia• mpressor ,https://www.uaudio.com/uad-plugins/compressors-limiters/elysia-mpressor.html,False,True,149,74.0,50
Summit Audio TLA-100A Compressor ,https://www.uaudio.com/uad-plugins/compressors-limiters/summit-tla-compressor.html,False,True,149,74.0,50
Distortion Essentials Bundle,https://www.uaudio.com/uad-plugins/guitar-bass/distortion-essentials-bundle.html,False,True,115,92.0,19
Vertigo Sound VSC-2 Compressor ,https://www.uaudio.com/uad-plugins/compressors-limiters/vsc-2-compressor.html,False,True,229,114.0,50
